daily,index,cumsum,cs_mv14d,d_mv14d,cs_savgol,d_savgol
1691,392,870533,874519.6428571428,4562.214285714319,873272.8219448604,4709.069013432134
6154,393,876687,878744.5,4224.8571428571595,877902.3241384663,4629.5021936058765
5197,394,881884,882913.8571428572,4169.3571428571595,882237.7232546947,4335.399116228451
4724,395,886608,887024.2857142857,4110.4285714285215,886385.1781332664,4147.454878571676
4690,396,891298,891052.0714285715,4027.7857142857974,890281.2847584207,3896.106625154265
4894,397,896192,894991.0714285715,3939.0,894012.475012904,3731.190254483372
2701,398,898893,898880.5,3889.4285714285215,897623.5363976263,3611.061384722241
1513,399,900406,902742.3571428572,3861.8571428571595,901147.1360792257,3523.599681599415
1562,400,901968,906502.4285714285,3760.071428571362,904824.4807323852,3677.3446531594964
5260,401,907228,910197.0714285715,3694.642857142957,908392.7957845166,3568.3150521314237
4741,402,911969,913832.7857142857,3635.7142857142026,911970.8702333402,3578.0744488235796
4466,403,916435,917405.4285714285,3572.6428571428405,915528.5160778039,3557.6458444637246
4497,404,920932,920915.7142857143,3510.2857142857974,919080.1642284039,3551.6481506000273
2362,405,923294,924398.9285714285,3483.2142857142026,922611.3625587882,3531.1983303842135
1305,406,924599,927867.7857142857,3468.8571428571595,926171.2146449672,3559.852086179075
4729,407,929328,931613.1428571428,3745.3571428571595,929892.8786264638,3721.6639814965893
4281,408,933609,935301.1428571428,3688.0,933511.7929084355,3618.9142819716362
3899,409,937508,938941.0714285715,3639.928571428638,937159.3201247955,3647.5272163600894
3807,410,941315,942533.5,3592.4285714285215,940763.5166860094,3604.1965612138156
4021,411,945336,946064.4285714285,3530.9285714285215,944346.5275184211,3583.0108324117027
2322,412,947658,949561.5714285715,3497.142857142957,947825.6874351958,3479.159916774719
1312,413,948970,953046.7857142857,3485.2142857142026,951261.5295546808,3435.8421194850234
5433,414,954403,956499.2142857143,3452.428571428638,954891.08052206,3629.5509673792403
4457,415,958860,959914.4285714285,3415.2142857142026,958625.8910775561,3734.8105554960202
4068,416,962928,963297.4285714285,3383.0,962201.284497407,3575.393419850967
3801,417,966729,966647.5714285715,3350.142857142957,965685.7103414696,3484.4258440625854
3636,418,970365,969959.5714285715,3312.0,969070.3596663268,3384.649324857164
1889,419,972254,973201.0714285715,3241.5,972308.9864617958,3238.6267954689683
1138,420,973392,976430.0,3228.9285714285215,975416.4561852678,3107.4697234720225
4270,421,977662,979580.2142857143,3150.214285714319,978515.3165318616,3098.8603465937776
3760,422,981422,982672.8571428572,3092.6428571428405,981442.1749672935,2926.858435431961
3448,423,984870,985733.1428571428,3060.285714285681,984395.3599125753,2953.184945281828
3347,424,988217,988773.0,3039.8571428571595,987249.9662019626,2854.606289387215
3487,425,991704,991788.4285714285,3015.4285714285215,990139.861034364,2889.89483240142
1335,426,993039,994791.3571428572,3002.928571428638,993093.7123385718,2953.851304207812
1136,427,994175,997774.0714285715,2982.714285714319,996127.3272274146,3033.6148888427997
4331,428,998506,1000691.9285714285,2917.857142857043,999335.5845274205,3208.2573000058765
3651,429,1002157,1003554.7857142857,2862.8571428571595,1002441.5559390883,3105.9714116678806
3615,430,1005772,1006371.9285714285,2817.1428571428405,1005554.6482511293,3113.0923120409716
3515,431,1009287,1009017.3571428572,2645.428571428638,1008541.9784846111,2987.330233481829
3294,432,1012581,1011596.3571428572,2579.0,1011375.4847416489,2833.5062570377486
1714,433,1014295,1014169.5714285715,2573.214285714319,1014036.4131892881,2660.9284476392204
855,434,1015150,1016714.1428571428,2544.571428571362,1016587.8824706071,2551.4692813189467
3362,435,1018512,1019204.7857142857,2490.6428571428405,1018944.4990860297,2356.616615422652
2990,436,1021502,1021667.7857142857,2463.0,1021068.9690882292,2124.470002199523
2808,437,1024310,1024095.2857142857,2427.5,1023152.9355413843,2083.966453155037
943,438,1025253,1026443.7857142857,2348.5,1025223.2860982679,2070.3505568836117
2557,439,1027810,1028730.2142857143,2286.428571428638,1027325.4218797993,2102.135781531455
1254,440,1029064,1030996.6428571428,2266.4285714285215,1029486.5514205393,2161.1295407399302
735,441,1029799,1033257.2142857143,2260.5714285714785,1031780.5365648136,2293.9851442743093
3576,442,1033375,1035341.8571428572,2084.6428571428405,1034194.189227943,2413.652663129382
3264,443,1036639,1037412.1428571428,2070.285714285681,1036530.9905270415,2336.80129909853
3118,444,1039757,1039462.8571428572,2050.714285714319,1038866.7673279021,2335.776800860651
