X,Y,Z,C
-683.442,-71.1802,-707.081,0.00972206
-805.67,27.3212,-693.008,0.0133088
-827.151,73.3933,-701.69,0.0106577
-806.44,50.1221,-722.95,0.011708
-776.61,23.7245,-746.597,0.0200959
-775.579,19.6852,-732.629,0.0200095
-771.233,14.7522,-736.122,0.0212918
-753.783,0.95254,-749.991,0.0292587
-755.655,3.85738,-727.372,0.0224258
-757.744,8.51586,-734.117,0.0222538
-781.282,24.4428,-732.547,0.0182879
-782.502,17.0464,-712.186,0.0144224
-779.954,22.7661,-693.786,0.0152368
-765.962,13.0948,-722.475,0.0195013
-772.37,17.0067,-721.521,0.0183193
-776.484,13.7204,-683.315,0.0123329
-795.384,42.9198,-727.752,0.0169848
-795.739,51.8445,-740.08,0.0179531
-791.883,47.471,-744.998,0.0190579
-792.506,35.5413,-710.701,0.0179432
-779.691,25.7813,-719.972,0.017588
-795.316,31.9025,-698.755,0.0189537
-792.205,37.4304,-703.736,0.0168707
-895.897,126.108,-685.189,0.00477447
-900.17,137.758,-683.833,0.00463097
-902.44,135.173,-695.996,0.00505544
-828.231,88.1916,-742.788,0.00730451
-858.513,105.129,-741.229,0.00830952
-863.913,115.619,-723.473,0.00743589
-875.291,125.277,-718.327,0.00692204
-834.015,70.9483,-724.265,0.00913462
-865.594,109.672,-701.877,0.00799361
-857.371,100.589,-704.661,0.00842367
-858.257,93.0357,-684.75,0.00960642
-853.528,92.2113,-696.141,0.0097504
-885.8,120.783,-694.127,0.00667453
-881.296,114.186,-684.628,0.00879803
-881.205,124.625,-707.497,0.00744935
-867.039,102.29,-681.646,0.0100226
-877.708,103.141,-673.266,0.00865536
-969.666,211.69,-687.998,0.00154276
-941.684,196.195,-735.297,0.00136996
-948.65,188.383,-676.587,0.00295136
-942.431,176.059,-681.701,0.00359683
-941.239,183.751,-727.067,0.00328573
-943.766,174.077,-715.225,0.00423084
-942.119,167.969,-694.21,0.00407734
-933.009,157.811,-700.69,0.00456062
-959.624,188.27,-703.128,0.00298926
-931.517,177.056,-736.626,0.00355735
-921.039,165.631,-731.706,0.00414682
-907.147,158.846,-730.613,0.00434315
-893.949,152.15,-749.2,0.00454282
-897.267,138.001,-716.001,0.00532608
-887.335,137.143,-731.099,0.0055809
-880.137,133.379,-741.891,0.00566985
-992.314,225.398,-690.071,0.00185537
-973.236,220.587,-743.57,0.00399954
-986.269,226.738,-743.75,0.00338575
-990.967,229.978,-701.626,0.00195147
-993.462,241.824,-760.374,0.00266012
-426.861,-368.25,-635.736,0.00020351
-386.296,-398.083,-661.615,0.000256245
-553.71,-225.243,-683.275,0.00340896
-541.902,-238.149,-633.757,0.00187318
-577.564,-206.829,-617.341,0.00205357
-581.181,-207.192,-633.586,0.00590807
-559.512,-214.202,-636.881,0.00230803
-540.342,-234.856,-648.618,0.00202154
-653.214,-138.14,-610.312,0.0029991
-605.087,-166.519,-613.656,0.00258643
-600.278,-174.999,-621.192,0.00197895
-600.383,-186.908,-624.497,0.00198641
-611.431,-170.902,-669.757,0.00374454
-593.255,-179.677,-630.781,0.00253686
-587.574,-187.867,-642.416,0.00524188
-581.349,-187.203,-663.669,0.00449111
-684.431,-86.3207,-662.545,0.00258268
-689.871,-81.7485,-667.072,0.00372645
-689.785,-80.0512,-674.422,0.00620603
-701.228,-73.1713,-668.221,0.00600944
-645.386,-140.32,-636.645,0.00237811
-652.713,-130.499,-638.421,0.00173497
-672.872,-88.4618,-676.384,0.00465789
-782.944,-12.9584,-620.549,0.00712777
-777.728,-16.7002,-631.188,0.00898974
-755.609,-36.2864,-613.006,0.00521996
-766.784,-25.1867,-608.161,0.00524204
-756.927,-29.9424,-624.809,0.0087006
-774.48,-2.73545,-662.435,0.0131275
